溶剂C,溶剂D,溶剂E,Time,stability
C(CO)O,CCCCN,CNCC1=CC=CC=C1CCCCCC1=CC=CC=C1=O,150,0
CCOC(=O)C,CCC1=CC=CC=C1=CC=C(C=CCC1=CC=CC=C1)CO,CNCC1=CC=CC=C1C=NCCNCC1=CC=CC=C1CCCCCC1=CC=CC=C1=O=CCC1=CC=CC=C1C(=O)N(C(=O)NCNCC1=CC=CC=C1CCCCCC1=CC=CC=C1=OC)C,50,0
CNCC1=CC=CC=C1CCCCCC1=CC=CC=C1=O,CCCCCCCC,CC(=O)O,50,1
CNCC1=CC=CC=C1CCCCCC1=CC=CC=C1=O,CCCCCCCC,CC(=O)O,100,1
CNCC1=CC=CC=C1CCCCCC1=CC=CC=C1=O,CCCCCCCC,CC(=O)O,150,1
CC#N,CCCCCC,CCCCN,50,1
CC#N,CCCCCC,CCCCN,100,1
CC#N,CCCCCC,CCCCN,150,0
CC(=O)N(C)C,CO,CCOC(=O)C,50,0
CC(=O)N(C)C,CO,CCOC(=O)C,100,0
CC(=O)N(C)C,CO,CCOC(=O)C,150,0
CCCCCC,CCO,CCC1=CC=CC=C1CC(=O)OCCC1=CC=CC=C1,50,1
CCCCCC,CCO,CCC1=CC=CC=C1CC(=O)OCCC1=CC=CC=C1,100,1
CCCCCC,CCO,CCC1=CC=CC=C1CC(=O)OCCC1=CC=CC=C1,150,1
CCO,CCC1=CC=CC=C1CC(=O)OCCC1=CC=CC=C1,CC(CO)O,50,1
CCO,CCC1=CC=CC=C1CC(=O)OCCC1=CC=CC=C1,CC(CO)O,100,1
CCO,CCC1=CC=CC=C1CC(=O)OCCC1=CC=CC=C1,CC(CO)O,150,1
CO,CC(=O)C,CCCCCC,50,0
CO,CC(=O)C,CCCCCC,100,0
CO,CC(=O)C,CCCCCC,150,0
CC(=O)C,CC(=O)O,CCCCCCCC,50,1
CC(=O)C,CC(=O)O,CCCCCCCC,100,1
CC(=O)C,CC(=O)O,CCCCCCCC,150,1
CCCCN,CCO,CC(=O)C,50,1
CCCCN,CCO,CC(=O)C,100,1
CCCCN,CCO,CC(=O)C,150,1
CCCCCCCC,CC#N,CCO,50,1
CCCCCCCC,CC#N,CCO,100,1
CCCCCCCC,CC#N,CCO,150,1
CC(=O)N(C)C,CC(CO)O,CCO,50,1
CC(=O)N(C)C,CC(CO)O,CCO,100,1
CC(=O)N(C)C,CC(CO)O,CCO,150,1
CC(=O)N(C)C,CC(CO)O,CCO,200,1
CCC1=CC=CC=C1CC(=O)OCCC1=CC=CC=C1,CC(=O)N(C)C,CC(=O)N(C)C,50,0
CCC1=CC=CC=C1CC(=O)OCCC1=CC=CC=C1,CC(=O)N(C)C,CC(=O)N(C)C,100,0
CCC1=CC=CC=C1CC(=O)OCCC1=CC=CC=C1,CC(=O)N(C)C,CC(=O)N(C)C,150,0
CC(CO)O,CNCC1=CC=CC=C1C=NCCNCC1=CC=CC=C1CCCCCC1=CC=CC=C1=O=CCC1=CC=CC=C1C(=O)N(C(=O)NCNCC1=CC=CC=C1CCCCCC1=CC=CC=C1=OC)C,C(CO)O,50,0
CC(CO)O,CNCC1=CC=CC=C1C=NCCNCC1=CC=CC=C1CCCCCC1=CC=CC=C1=O=CCC1=CC=CC=C1C(=O)N(C(=O)NCNCC1=CC=CC=C1CCCCCC1=CC=CC=C1=OC)C,C(CO)O,100,0
CC(CO)O,CNCC1=CC=CC=C1C=NCCNCC1=CC=CC=C1CCCCCC1=CC=CC=C1=O=CCC1=CC=CC=C1C(=O)N(C(=O)NCNCC1=CC=CC=C1CCCCCC1=CC=CC=C1=OC)C,C(CO)O,150,0
CCO,CC1=CC=CC=C1,CC(=O)N(C)C,50,0
CCO,CC1=CC=CC=C1,CC(=O)N(C)C,100,0
CCO,CC1=CC=CC=C1,CC(=O)N(C)C,150,0
CNCC1=CC=CC=C1CCCCCC1=CC=CC=C1=O,CCC1=CC=CC=C1CC(=O)OCCC1=CC=CC=C1,CC(=O)C,160,0
CCOC(=O)C,CO,CCO,50,0
CCOC(=O)C,CO,CCO,100,0
CCOC(=O)C,CO,CCO,150,0
CCC1=CC=CC=C1CC(=O)OCCC1=CC=CC=C1,CNCC1=CC=CC=C1CCCCCC1=CC=CC=C1=O,CCCCCCCC,50,1
CCC1=CC=CC=C1CC(=O)OCCC1=CC=CC=C1,CNCC1=CC=CC=C1CCCCCC1=CC=CC=C1=O,CCCCCCCC,100,0
CCC1=CC=CC=C1CC(=O)OCCC1=CC=CC=C1,CNCC1=CC=CC=C1CCCCCC1=CC=CC=C1=O,CCCCCCCC,150,0
CC(CO)O,CCCCCC,CCCCCCCC,50,1
CC(CO)O,CCCCCC,CCCCCCCC,100,0
CC(CO)O,CCCCCC,CCCCCCCC,130,0
