A nN,A Sse,A Mv,A Mpe,A ETA_dAlpha_B,A Bandgap,B Mare,B Mi,B ETA_dAlpha_B,B ETA_BetaP,B fragC,B HOMO,B Bandgap,Potential (v)
6,89.23088128,0.728984759,1.041549953,0.03222,0.226,1.012,7.496365714,0.02029,1.54348,531.14,-5.218,1.568,0.2144
6,89.23088128,0.728984759,1.041549953,0.03222,0.226,1.012,7.496365714,0.02029,1.54348,531.14,-5.218,1.568,0.2054
6,89.23088128,0.728984759,1.041549953,0.03222,0.226,1.012,7.496365714,0.02029,1.54348,531.14,-5.218,1.568,0.2022
6,89.23088128,0.728984759,1.041549953,0.03222,0.226,1.012,7.496365714,0.02029,1.54348,531.14,-5.218,1.568,0.2117
6,89.23088128,0.728984759,1.041549953,0.03222,0.226,0.955034483,7.795594136,0.03333,0.70455,10.03,-5.285,5.034,0.2852
6,89.23088128,0.728984759,1.041549953,0.03222,0.226,0.955034483,7.795594136,0.03333,0.70455,10.03,-5.285,5.034,0.2996
6,89.23088128,0.728984759,1.041549953,0.03222,0.226,0.955034483,7.795594136,0.03333,0.70455,10.03,-5.285,5.034,0.306
6,89.23088128,0.728984759,1.041549953,0.03222,0.226,0.955034483,7.795594136,0.03333,0.70455,10.03,-5.285,5.034,0.3093
6,89.23088128,0.728984759,1.041549953,0.03222,0.226,0.955034483,7.795594136,0.03333,0.70455,10.03,-5.285,5.034,0.3112
6,89.23088128,0.728984759,1.041549953,0.03222,0.226,1.009777778,7.537975915,0.02424,1.22727,317.14,-5.249,1.56,0.1379
6,89.23088128,0.728984759,1.041549953,0.03222,0.226,1.009777778,7.537975915,0.02424,1.22727,317.14,-5.249,1.56,0.1402
6,89.23088128,0.728984759,1.041549953,0.03222,0.226,1.009777778,7.537975915,0.02424,1.22727,317.14,-5.249,1.56,0.1656
6,89.23088128,0.728984759,1.041549953,0.03222,0.226,1.009777778,7.537975915,0.02424,1.22727,317.14,-5.249,1.56,0.273
6,89.23088128,0.728984759,1.041549953,0.03222,0.226,1.009777778,7.537975915,0.02424,1.22727,317.14,-5.249,1.56,0.2248
6,89.23088128,0.728984759,1.041549953,0.03222,0.226,1.000777778,7.537387641,0.03651,1.16667,156.05,-4.981,2.279,0.2345
6,89.23088128,0.728984759,1.041549953,0.03222,0.226,1.000777778,7.537387641,0.03651,1.16667,156.05,-4.981,2.279,0.208
6,89.23088128,0.728984759,1.041549953,0.03222,0.226,1.000777778,7.537387641,0.03651,1.16667,156.05,-4.981,2.279,0.1927
6,89.23088128,0.728984759,1.041549953,0.03222,0.226,1.000777778,7.537387641,0.03651,1.16667,156.05,-4.981,2.279,0.1826
6,89.23088128,0.728984759,1.041549953,0.03222,0.226,1.000777778,7.537387641,0.03651,1.16667,156.05,-4.981,2.279,0.1746
6,89.23088128,0.728984759,1.041549953,0.03222,0.226,0.97847619,7.503311577,0.02222,1.29167,232.04,-4.695,2.259,0.2527
6,89.23088128,0.728984759,1.041549953,0.03222,0.226,0.97847619,7.503311577,0.02222,1.29167,232.04,-4.695,2.259,0.2337
6,89.23088128,0.728984759,1.041549953,0.03222,0.226,0.97847619,7.503311577,0.02222,1.29167,232.04,-4.695,2.259,0.2151
6,89.23088128,0.728984759,1.041549953,0.03222,0.226,0.97847619,7.503311577,0.02222,1.29167,232.04,-4.695,2.259,0.2081
6,89.23088128,0.728984759,1.041549953,0.03222,0.226,0.97847619,7.503311577,0.02222,1.29167,232.04,-4.695,2.259,0.2106
6,89.23088128,0.728984759,1.041549953,0.03222,0.226,0.990971429,7.591437896,0.03167,1.4375,61.05,-4.629,1.952,-0.1382
6,89.23088128,0.728984759,1.041549953,0.03222,0.226,0.990971429,7.591437896,0.03167,1.4375,61.05,-4.629,1.952,-0.0732
6,89.23088128,0.728984759,1.041549953,0.03222,0.226,0.990971429,7.591437896,0.03167,1.4375,61.05,-4.629,1.952,-0.03873
6,89.23088128,0.728984759,1.041549953,0.03222,0.226,0.990971429,7.591437896,0.03167,1.4375,61.05,-4.629,1.952,-0.01231
6,89.23088128,0.728984759,1.041549953,0.03222,0.226,0.990971429,7.591437896,0.03167,1.4375,61.05,-4.629,1.952,-0.000489
6,89.23088128,0.728984759,1.041549953,0.03222,0.226,0.969142857,7.538865507,0.02121,1.2197,240.05,-4.197,1.737,0.1329
6,89.23088128,0.728984759,1.041549953,0.03222,0.226,0.969142857,7.538865507,0.02121,1.2197,240.05,-4.197,1.737,0.1284
6,89.23088128,0.728984759,1.041549953,0.03222,0.226,0.969142857,7.538865507,0.02121,1.2197,240.05,-4.197,1.737,0.1312
6,89.23088128,0.728984759,1.041549953,0.03222,0.226,0.969142857,7.538865507,0.02121,1.2197,240.05,-4.197,1.737,0.1378
6,89.23088128,0.728984759,1.041549953,0.03222,0.226,0.969142857,7.538865507,0.02121,1.2197,240.05,-4.197,1.737,0.1468
6,89.23088128,0.728984759,1.041549953,0.03222,0.226,1.016914286,7.480693345,0.02319,1.53261,119.07,-5.107,1.731,-0.101
