ratio_A,ratio_B,ration_C,ratio_D,C_stable_similarity,D_stable_similarity,E_stable__similarity,average_stable_similarity(C、D、E三个溶剂的平均值),C_mix_similarity,D_mix_similarity,E_mix_similarity,C_MinAbsPartialCharge,C_MinEStateIndex,D_FpDensityMorgan1,D_Kappa3,D_MaxAbsPartialCharge,D_MinAbsPartialCharge,D_MinPartialCharge,D_MolLogP,D_qed,E_BalabanJ,E_MinAbsEStateIndex,E_MinPartialCharge,E_qed,Retation index
0.72,0.24,0.02,0.01,0.17376229,0.18914637,0.3221654,0.22835802,0.72049395,1.080198396,1.384727476,0.007737643,0.84375,2,1.96,0.396663715,0.040220582,-0.396663715,-0.0014,0.406807966,2.803039488,0.166666667,-0.300343903,0.398236962,0.75711575
0.72,0.24,0.02,0.01,0.17376229,0.18914637,0.3221654,0.22835802,0.72049395,1.080198396,1.384727476,0.007737643,0.84375,2,1.96,0.396663715,0.040220582,-0.396663715,-0.0014,0.406807966,2.803039488,0.166666667,-0.300343903,0.398236962,0.746204934
0.72,0.24,0.02,0.01,0.17376229,0.18914637,0.3221654,0.22835802,0.72049395,1.080198396,1.384727476,0.007737643,0.84375,2,1.96,0.396663715,0.040220582,-0.396663715,-0.0014,0.406807966,2.803039488,0.166666667,-0.300343903,0.398236962,0.726280835
0.72,0.24,0.02,0.01,0.18487532,0.37623513,0.37118155,0.310764,0.94695218,1.26580363,1.69758505,0.053316205,1.364795918,1.5,6.883957759,0.300343903,0.126267944,-0.300343903,0.5953,0.398236962,2.323790008,0.166666667,-0.393706902,0.428404794,0.535885167
0.72,0.24,0.02,0.01,0.18487532,0.37623513,0.37118155,0.310764,0.94695218,1.26580363,1.69758505,0.053316205,1.364795918,1.5,6.883957759,0.300343903,0.126267944,-0.300343903,0.5953,0.398236962,2.323790008,0.166666667,-0.393706902,0.428404794,0.488516746
0.72,0.24,0.02,0.01,0.18487532,0.37623513,0.37118155,0.310764,0.94695218,1.26580363,1.69758505,0.053316205,1.364795918,1.5,6.883957759,0.300343903,0.126267944,-0.300343903,0.5953,0.398236962,2.323790008,0.166666667,-0.393706902,0.428404794,0.468708134
0.72,0.24,0.02,0.01,0.4256237,0.33377582,0.18914637,0.316181963,1.54721435,1.0796178,1.080198396,0.059180344,0.605709877,1.8,3.92,0.393700042,0.074238644,-0.393700042,-0.6405,0.435834997,1.632993162,0.25,-0.396663715,0.406807966,0.694949495
0.72,0.24,0.02,0.01,0.4256237,0.33377582,0.18914637,0.316181963,1.54721435,1.0796178,1.080198396,0.059180344,0.605709877,1.8,3.92,0.393700042,0.074238644,-0.393700042,-0.6405,0.435834997,1.632993162,0.25,-0.396663715,0.406807966,0.647138047
0.72,0.24,0.02,0.01,0.4256237,0.33377582,0.18914637,0.316181963,1.54721435,1.0796178,1.080198396,0.059180344,0.605709877,1.8,3.92,0.393700042,0.074238644,-0.393700042,-0.6405,0.435834997,1.632993162,0.25,-0.396663715,0.406807966,0.618316498
0.72,0.24,0.02,0.01,0.4256237,0.33377582,0.18914637,0.316181963,1.54721435,1.0796178,1.080198396,0.059180344,0.605709877,1.8,3.92,0.393700042,0.074238644,-0.393700042,-0.6405,0.435834997,1.632993162,0.25,-0.396663715,0.406807966,0.604579125
0.72,0.24,0.02,0.01,0.370144367,0.484608203,0.4256237,0.42679209,1.210980037,1.192729653,1.54721435,0.305409841,-0.046296296,1.5,1.758184438,0.349064265,0.218425131,-0.349064265,0.0945,0.409906883,3.134861511,0.605709877,-0.082713195,0.528586339,0.224126984
0.72,0.24,0.02,0.01,0.370144367,0.484608203,0.4256237,0.42679209,1.210980037,1.192729653,1.54721435,0.305409841,-0.046296296,1.5,1.758184438,0.349064265,0.218425131,-0.349064265,0.0945,0.409906883,3.134861511,0.605709877,-0.082713195,0.528586339,0.167830688
0.72,0.24,0.02,0.01,0.370144367,0.484608203,0.4256237,0.42679209,1.210980037,1.192729653,1.54721435,0.305409841,-0.046296296,1.5,1.758184438,0.349064265,0.218425131,-0.349064265,0.0945,0.409906883,3.134861511,0.605709877,-0.082713195,0.528586339,0.157354497
0.72,0.24,0.02,0.01,0.33377582,0.19431809,0.37061197,0.299568627,1.0796178,0.547261949,0.86131363,0.074238644,-0.560185185,0.857142857,2.63114094,0.304159943,0.004743854,-0.304159943,1.3481,0.51837487,1.974744871,0.125,-0.393990542,0.407527891,0.35017452
0.72,0.24,0.02,0.01,0.33377582,0.19431809,0.37061197,0.299568627,1.0796178,0.547261949,0.86131363,0.074238644,-0.560185185,0.857142857,2.63114094,0.304159943,0.004743854,-0.304159943,1.3481,0.51837487,1.974744871,0.125,-0.393990542,0.407527891,0.34965096
0.72,0.24,0.02,0.01,0.33377582,0.19431809,0.37061197,0.299568627,1.0796178,0.547261949,0.86131363,0.074238644,-0.560185185,0.857142857,2.63114094,0.304159943,0.004743854,-0.304159943,1.3481,0.51837487,1.974744871,0.125,-0.393990542,0.407527891,0.328621291
0.72,0.24,0.02,0.01,0.37118155,0.31287825,0.484608203,0.389556001,1.69758505,1.52151552,1.192729653,0.048347612,-0.166666667,1,1.038264132,0.062249086,0.039774526,-0.062249086,1.99502,0.45880628,3.257586161,0.092592593,-0.349064265,0.409906883,0.635861561
0.72,0.24,0.02,0.01,0.37118155,0.31287825,0.484608203,0.389556001,1.69758505,1.52151552,1.192729653,0.048347612,-0.166666667,1,1.038264132,0.062249086,0.039774526,-0.062249086,1.99502,0.45880628,3.257586161,0.092592593,-0.349064265,0.409906883,0.614506627
0.72,0.24,0.02,0.01,0.37118155,0.31287825,0.484608203,0.389556001,1.69758505,1.52151552,1.192729653,0.048347612,-0.166666667,1,1.038264132,0.062249086,0.039774526,-0.062249086,1.99502,0.45880628,3.257586161,0.092592593,-0.349064265,0.409906883,0.583210604
0.6,0.32,0.1,0.1,0.33475372,0.370144367,0.3221654,0.342354496,1.43194772,1.210980037,1.384727476,0.221873564,0.291666667,1.666666667,0.505725462,0.465656557,0.305409841,-0.465656557,0.3234,0.396777661,2.803039488,0.166666667,-0.300343903,0.398236962,1.119165839
0.6,0.32,0.1,0.1,0.28364202,0.28543487,0.37118155,0.31341948,1.46313156,1.07506076,1.69758505,0.302112778,-0.210648148,1.5,-27.04,0.399630244,0.031940684,-0.399630244,-0.3915,0.385284404,2.323790008,0.166666667,-0.393706902,0.428404794,0.180594966
0.6,0.32,0.1,0.1,0.28364202,0.28543487,0.37118155,0.31341948,1.46313156,1.07506076,1.69758505,0.302112778,-0.210648148,1.5,-27.04,0.399630244,0.031940684,-0.399630244,-0.3915,0.385284404,2.323790008,0.166666667,-0.393706902,0.428404794,0.052540046
0.6,0.32,0.1,0.1,0.28364202,0.28543487,0.37118155,0.31341948,1.46313156,1.07506076,1.69758505,0.302112778,-0.210648148,1.5,-27.04,0.399630244,0.031940684,-0.399630244,-0.3915,0.385284404,2.323790008,0.166666667,-0.393706902,0.428404794,0.039789474
0.6,0.32,0.1,0.1,0.370144367,0.33475372,0.18487532,0.296591136,1.210980037,1.43194772,0.94695218,0.305409841,-0.046296296,1.714285714,0.734423082,0.345748915,0.221873564,-0.345748915,0.2386,0.425686211,2.530060457,1.364795918,-0.065382383,0.480610605,0.55166495
0.6,0.32,0.1,0.1,0.370144367,0.33475372,0.18487532,0.296591136,1.210980037,1.43194772,0.94695218,0.305409841,-0.046296296,1.714285714,0.734423082,0.345748915,0.221873564,-0.345748915,0.2386,0.425686211,2.530060457,1.364795918,-0.065382383,0.480610605,0.527634741
0.6,0.32,0.1,0.1,0.370144367,0.33475372,0.18487532,0.296591136,1.210980037,1.43194772,0.94695218,0.305409841,-0.046296296,1.714285714,0.734423082,0.345748915,0.221873564,-0.345748915,0.2386,0.425686211,2.530060457,1.364795918,-0.065382383,0.480610605,0.545142465
0.6,0.32,0.1,0.1,0.33377582,0.38635278,0.18487532,0.301667973,1.0796178,1.65491533,0.94695218,0.074238644,-0.560185185,0.833333333,4,0.065382385,0.053578702,-0.065382385,2.5866,0.462954281,2.530060457,1.364795918,-0.065382383,0.480610605,0.424054706
0.6,0.32,0.1,0.1,0.33377582,0.38635278,0.18487532,0.301667973,1.0796178,1.65491533,0.94695218,0.074238644,-0.560185185,0.833333333,4,0.065382385,0.053578702,-0.065382385,2.5866,0.462954281,2.530060457,1.364795918,-0.065382383,0.480610605,0.331295253
0.6,0.32,0.1,0.1,0.33377582,0.38635278,0.18487532,0.301667973,1.0796178,1.65491533,0.94695218,0.074238644,-0.560185185,0.833333333,4,0.065382385,0.053578702,-0.065382385,2.5866,0.462954281,2.530060457,1.364795918,-0.065382383,0.480610605,0.313193886
