,A nN,A Si,A Mv,A Mse,A ETA_dAlpha_B,A Bandgap,B Mpe,B Mi,B ETA_dAlpha_B,B ETA_BetaP,B fragC,B HOMO,B Bandgap,Potential (v)
54,8,406.6477437,0.633314003,0.999230442,0.02759,1.777,1.004145658,7.480693345,0.02319,1.53261,119.07,-5.107,1.731,0.2916
55,8,406.6477437,0.633314003,0.999230442,0.02759,1.777,1.03186838,7.456738791,0.02396,1.53125,1009.24,-5.04,0.21,0.1437
56,8,406.6477437,0.633314003,0.999230442,0.02759,1.777,1.03186838,7.456738791,0.02396,1.53125,1009.24,-5.04,0.21,0.153
57,8,406.6477437,0.633314003,0.999230442,0.02759,1.777,1.03186838,7.456738791,0.02396,1.53125,1009.24,-5.04,0.21,0.1575
58,8,406.6477437,0.633314003,0.999230442,0.02759,1.777,1.03186838,7.456738791,0.02396,1.53125,1009.24,-5.04,0.21,0.1538
59,8,406.6477437,0.633314003,0.999230442,0.02759,1.777,1.03186838,7.456738791,0.02396,1.53125,1009.24,-5.04,0.21,0.147
60,6,632.1833964,0.728984759,1.062272396,0.03222,0.226,0.966786715,7.503000244,0.01954,1.5431,212.05,-4.704,1.346,0.3151
61,6,632.1833964,0.728984759,1.062272396,0.03222,0.226,0.966786715,7.503000244,0.01954,1.5431,212.05,-4.704,1.346,0.3247
62,6,632.1833964,0.728984759,1.062272396,0.03222,0.226,0.966786715,7.503000244,0.01954,1.5431,212.05,-4.704,1.346,0.3111
63,6,632.1833964,0.728984759,1.062272396,0.03222,0.226,0.966786715,7.503000244,0.01954,1.5431,212.05,-4.704,1.346,0.3097
64,6,632.1833964,0.728984759,1.062272396,0.03222,0.226,0.966786715,7.503000244,0.01954,1.5431,212.05,-4.704,1.346,0.3053
65,6,632.1833964,0.728984759,1.062272396,0.03222,0.226,0.984139434,7.44761855,0.01852,1.39815,198.06,-5.511,3.471,-0.07248
66,6,632.1833964,0.728984759,1.062272396,0.03222,0.226,0.984139434,7.44761855,0.01852,1.39815,198.06,-5.511,3.471,-0.05828
67,6,632.1833964,0.728984759,1.062272396,0.03222,0.226,0.984139434,7.44761855,0.01852,1.39815,198.06,-5.511,3.471,0.003248
68,6,632.1833964,0.728984759,1.062272396,0.03222,0.226,0.984139434,7.44761855,0.01852,1.39815,198.06,-5.511,3.471,0.01236
69,6,632.1833964,0.728984759,1.062272396,0.03222,0.226,0.984139434,7.44761855,0.01852,1.39815,198.06,-5.511,3.471,-0.005475
70,6,632.1833964,0.728984759,1.062272396,0.03222,0.226,0.999663866,7.496365714,0.02029,1.54348,531.14,-5.218,1.568,0.2195
71,6,632.1833964,0.728984759,1.062272396,0.03222,0.226,0.999663866,7.496365714,0.02029,1.54348,531.14,-5.218,1.568,0.2144
72,6,632.1833964,0.728984759,1.062272396,0.03222,0.226,0.999663866,7.496365714,0.02029,1.54348,531.14,-5.218,1.568,0.2054
73,6,632.1833964,0.728984759,1.062272396,0.03222,0.226,0.999663866,7.496365714,0.02029,1.54348,531.14,-5.218,1.568,0.2022
74,6,632.1833964,0.728984759,1.062272396,0.03222,0.226,0.999663866,7.496365714,0.02029,1.54348,531.14,-5.218,1.568,0.2117
75,6,632.1833964,0.728984759,1.062272396,0.03222,0.226,0.940094659,7.795594136,0.03333,0.70455,10.03,-5.285,5.034,0.2852
76,6,632.1833964,0.728984759,1.062272396,0.03222,0.226,0.940094659,7.795594136,0.03333,0.70455,10.03,-5.285,5.034,0.2996
77,6,632.1833964,0.728984759,1.062272396,0.03222,0.226,0.940094659,7.795594136,0.03333,0.70455,10.03,-5.285,5.034,0.306
